text,embeddings,datetime
Hello.,"[[-7.34326392e-02  6.73583671e-02  1.42314117e-02  8.41750279e-02
  -6.92192242e-02 -2.66595073e-02  5.30172363e-02  8.98023229e-03
  -9.68666077e-02 -4.96769659e-02  2.61108745e-02  2.55373456e-02
  -5.49433473e-03 -4.11667526e-02  4.32066582e-02 -1.22951893e-02
   4.70912922e-03 -6.58396631e-02 -8.78866687e-02  2.15897094e-02
  -2.11216193e-02  1.83100533e-02  3.26776924e-03  1.86666921e-02
  -4.90628518e-02 -3.88248526e-02  7.62052648e-03  3.80361192e-02
  -1.97937153e-02 -6.90759122e-02  4.51733470e-02  4.34468277e-02
   2.25689281e-02 -2.16956809e-02 -1.26235886e-02  7.84048662e-02
  -9.72118527e-02 -9.14967209e-02  4.91347536e-02  5.85828209e-03
  -2.36006686e-03 -2.05204021e-02 -2.47666729e-03 -8.22198857e-03
   3.57351564e-02 -5.86577319e-02  2.84314211e-02  7.05487877e-02
   6.36759326e-02  6.40216051e-03 -6.22161664e-02 -1.05998076e-01
  -7.62776360e-02  2.00476088e-02  1.26742631e-01  3.33720178e-04
   6.27650879e-03 -3.48469391e-02  4.83584441e-02 -5.21049425e-02
  -3.78704630e-02  4.98925857e-02 -1.24932997e-01  8.61468390e-02
  -5.15158568e-03 -3.40785757e-02 -5.79814315e-02 -6.07847907e-02
  -4.33519594e-02 -7.02498406e-02  2.01444211e-03 -2.60479860e-02
  -1.37267401e-02  8.52203369e-03 -4.43927348e-02 -1.85562074e-02
   3.95192057e-02 -1.29752476e-02 -3.93062597e-03  2.33689025e-02
   4.62373383e-02 -7.11333454e-02 -4.11102399e-02  2.49678437e-02
   4.05647494e-02 -1.33122224e-02  3.62183303e-02  7.77245983e-02
   1.44430464e-02  3.63811590e-02 -1.00516379e-01  6.96096977e-04
   2.11262256e-02 -1.38712833e-02 -9.85230505e-02 -1.98425278e-02
   7.39820078e-02 -9.71377268e-03 -8.67886990e-02  1.97089210e-01
   6.44415393e-02  7.22794980e-02  3.28678116e-02  5.53957298e-02
  -1.40689528e-02 -1.38766859e-02 -5.28598502e-02  2.98346970e-02
  -1.47468252e-02  1.83754824e-02 -8.50626640e-03 -6.65147454e-02
  -6.15605675e-02  3.22417170e-02  7.65711740e-02  4.02708314e-02
   9.83875711e-03  3.21199335e-02  1.39150508e-02  1.41167305e-02
   3.48462090e-02  8.20124522e-03 -2.22675018e-02 -8.68274015e-04
   4.09010835e-02  8.29795096e-03  2.68703941e-02 -9.51482009e-33
   5.19797876e-02 -2.68664956e-02  4.38655056e-02  1.62765637e-01
  -5.83805423e-03 -1.91590190e-02 -7.67789558e-02 -5.93500882e-02
   3.20654027e-02  6.47211745e-02  7.98525959e-02  3.98970880e-02
  -3.16000655e-02  8.47537071e-03  2.71309279e-02  8.90322924e-02
  -6.85250312e-02  3.33109573e-02  9.72687826e-03  3.38427350e-02
  -4.26794589e-02  3.10452189e-02 -8.12382624e-03  7.43833408e-02
   5.00243492e-02 -7.88242966e-02  2.06894577e-02 -8.23992491e-02
   3.95090580e-02  1.38291977e-02 -6.15474582e-02 -2.82169078e-02
   4.18140627e-02  3.65335867e-02  1.17782885e-02  5.30881342e-03
   2.48496756e-02 -5.02868667e-02 -5.40536009e-02 -2.07943618e-02
  -5.64635359e-02  1.73523277e-02  1.40816523e-02 -1.10785495e-02
   2.90913172e-02 -4.93774540e-04  8.53890926e-03  3.24661657e-02
  -4.65572849e-02  1.89016871e-02 -4.34492901e-02  3.37991863e-02
  -1.15504593e-01  4.02177647e-02 -1.27601363e-02 -1.64843667e-02
  -1.43800518e-02 -6.38700202e-02  7.59400353e-02  1.51376771e-02
   1.59118865e-02  1.02670781e-01 -3.40269171e-02 -1.68433390e-03
  -1.11199267e-01 -3.74719985e-02  1.64410751e-02  3.14698666e-02
   7.98820034e-02 -3.59607562e-02 -4.18567508e-02 -1.06281566e-03
   2.15279665e-02  1.55076804e-02 -5.80991944e-03  2.84941792e-02
  -1.42455650e-02 -4.53731976e-03  5.55393659e-02 -4.99341115e-02
   2.55903840e-04  3.98131460e-02 -2.65439097e-02  1.09066805e-02
   6.94914162e-02  8.30565616e-02 -3.73684764e-02 -8.17590281e-02
  -2.01314427e-02 -3.28805931e-02 -5.10231033e-02  5.25080413e-02
   3.69602777e-02  2.04320699e-02 -3.65391150e-02  6.36445262e-33
   1.20259628e-01  6.87077343e-02 -6.52672127e-02  1.68853886e-02
  -4.50553410e-02 -6.67782640e-03 -4.78543490e-02  1.19519234e-01
  -1.61942065e-01  2.64256913e-03  2.57001389e-02 -9.76477005e-03
   6.97517172e-02  1.44864973e-02  4.23135534e-02  3.05956602e-02
   1.12378806e-01  5.48079498e-02 -3.42915542e-02 -2.51962915e-02
  -4.33739834e-02  2.72703152e-02 -3.36742923e-02  1.29839964e-02
   1.10014565e-02 -3.52860382e-03  1.47072710e-02  5.38164116e-02
  -1.03709452e-01 -1.55428406e-02  8.03288370e-02 -8.08344805e-04
  -2.95909442e-04  1.55658731e-02  1.37511762e-02  7.89162219e-02
   9.75394435e-03 -7.98515305e-02  2.97701117e-02 -1.11142084e-01
  -3.27034220e-02  3.44044939e-02 -8.95559601e-03  1.37524247e-01
  -2.71450337e-02 -7.50832856e-02 -1.16002541e-02  9.54412099e-04
  -4.56506312e-02  2.20455639e-02 -1.16767816e-01 -6.74924925e-02
   4.74555232e-02 -1.94320804e-03 -4.11366636e-04  4.60697599e-02
  -3.92439179e-02  3.86032984e-02 -4.49502701e-03 -2.96730362e-02
   9.66797862e-03  7.10380673e-02  5.21769226e-02  8.10024217e-02
   5.17979404e-03  1.78670045e-02 -7.25377798e-02 -1.09936185e-02
   1.63491443e-02 -3.48652415e-02  2.98540816e-02 -2.30697244e-02
   1.55405758e-03  1.24054663e-02 -2.30683200e-02  4.18929878e-04
  -1.40335737e-02 -7.89346360e-03 -1.23632345e-02 -6.19556813e-04
  -7.36092823e-03  5.41219749e-02 -2.07342375e-02  6.60263747e-03
   3.59783918e-02 -5.33036292e-02  5.15307076e-02  2.76389327e-02
  -6.32481324e-03 -7.55698467e-03  1.76547710e-02  4.60861716e-03
   8.25739931e-03 -2.74888868e-03 -3.40034775e-02 -1.63533471e-08
  -2.29302030e-02  8.51804856e-03  5.82876988e-03  7.47519061e-02
   3.45935822e-02  3.11059467e-02 -8.61007497e-02 -2.81959716e-02
  -2.52721123e-02 -1.84128367e-04  5.62596954e-02  9.73557681e-02
  -1.01062559e-01 -6.94083935e-03  1.05203487e-01  7.40244240e-02
  -5.52322827e-02 -3.79831865e-02 -7.20418915e-02 -9.36186686e-02
   5.89215662e-03  1.25634307e-02  1.77132841e-02 -9.09498483e-02
   1.50180620e-03 -1.78460986e-03 -5.09923324e-02  1.05767949e-02
   1.12985745e-02  1.07822008e-02  2.78773978e-02  1.56784341e-01
  -3.94895859e-02  1.68224443e-02  7.07622850e-03 -2.81786416e-02
   9.32329800e-03  1.30407009e-02  5.86136356e-02  4.05386603e-03
  -5.82341179e-02  8.69152695e-02 -4.33589704e-03 -1.17293358e-01
   7.84182176e-03  2.69991951e-03  4.55401056e-02 -9.78639200e-02
   2.94353794e-02 -7.41262138e-02 -2.64663529e-02  5.91285117e-02
   6.04418032e-02  7.99630806e-02  8.43918622e-02  6.45417199e-02
   3.61525849e-03 -2.05317270e-02 -3.87429334e-02 -1.11338799e-03
   5.04676513e-02  5.90142719e-02  4.78645563e-02  1.18415840e-02]]",2024-02-17 16:49:23.516044
I would find a question.,"[[-1.33600831e-01  2.60764249e-02 -4.21855077e-02  3.33628058e-02
  -7.62705971e-03  8.05303305e-02 -1.25286086e-02  2.19300427e-02
  -3.99701446e-02  5.03954254e-02  6.33605570e-02 -5.72609715e-02
  -7.52261560e-03  2.25848239e-02  6.86173141e-02  1.35212205e-02
  -1.82549153e-02 -3.29380855e-02 -5.24399914e-02  7.92951062e-02
  -3.71713676e-02  3.08876876e-02  2.47382056e-02  1.48510346e-02
   7.87189137e-03 -3.45320441e-02  4.75115739e-02  7.27605447e-02
  -2.09330637e-02 -3.57626826e-02 -5.52704409e-02  2.28422564e-02
   7.14329779e-02  6.46284446e-02  7.41094723e-02  5.29664708e-03
   1.01059318e-01  7.71548301e-02  2.96206679e-02 -2.58890651e-02
  -2.32353266e-02 -2.00189985e-02  2.39641871e-02 -1.68953631e-02
  -2.52003409e-02 -5.90293631e-02 -4.89353761e-02  5.72699942e-02
   5.83231635e-02 -2.81594507e-02 -3.08679771e-02 -1.18119664e-01
  -6.12070709e-02 -5.55976853e-02  3.46026309e-02 -4.19188961e-02
   3.52964690e-03  4.93140928e-02  8.96759145e-03  9.14167240e-02
   1.78868957e-02  5.83244041e-02 -2.52329279e-02  1.14441901e-01
   8.52416828e-02  3.30477692e-02 -2.13922430e-02  1.90862156e-02
   3.52792069e-02 -1.20560206e-01 -3.52509879e-02  4.18275362e-03
  -8.34222510e-02  1.28120929e-02 -2.64207367e-02 -6.50617480e-02
   1.89561471e-02 -1.06963940e-01  1.96106192e-02 -3.23144346e-02
  -1.02181770e-02 -1.54694263e-02  2.78626382e-02  8.05663243e-02
   3.01184710e-02  2.29997542e-02  1.20003194e-01 -1.16600478e-02
  -5.51543897e-03  1.74292326e-02 -8.06956738e-02 -2.69368310e-02
  -2.34035589e-02 -5.57846427e-02  9.12578963e-03  8.41735601e-02
  -3.80946919e-02  1.13465115e-02 -2.18129735e-02  1.11355953e-01
   4.26180288e-02  1.31536294e-02 -1.81913655e-02  4.33526412e-02
  -8.11004266e-02  8.44999403e-02 -8.80366191e-02  1.07413813e-01
   1.59958862e-02 -9.88011658e-02 -7.42532313e-02  5.08839032e-03
   2.79685110e-02  6.51342282e-03  7.31723791e-04 -4.06209417e-02
   7.29621872e-02  3.25179137e-02 -1.63247399e-02 -6.83633462e-02
   1.57013498e-02 -3.31778489e-02 -2.17887759e-02 -2.61523686e-02
  -3.80521640e-02  3.72968498e-03 -1.31855235e-01 -1.01413791e-32
   1.55291092e-02 -5.19356914e-02  6.96056634e-02  6.16868362e-02
   2.74793152e-02 -2.31490061e-02 -5.85317574e-02  3.87081765e-02
   7.82213807e-02 -1.35366946e-01 -1.30798444e-02 -5.02922721e-02
  -6.60027983e-03  1.22777261e-02  1.02030121e-01 -1.34835001e-02
  -3.83425094e-02  6.26473650e-02 -6.56276569e-02 -5.46122044e-02
   2.95119919e-02  1.40491948e-02  3.06562595e-02  7.38701001e-02
   4.50181551e-02  2.95981318e-02 -1.78089514e-02 -3.54421772e-02
   1.16132259e-01  9.98239871e-03 -1.05074659e-01 -1.75574627e-02
  -2.37883423e-02 -5.13060950e-02  5.27941296e-03 -1.43470811e-02
   7.10264361e-03  3.79234850e-02 -2.71336958e-02 -5.20983823e-02
  -4.79866751e-02 -3.51411551e-02  1.51876966e-02  3.23468298e-02
  -8.17706510e-02 -6.17733784e-02  7.08959699e-02  1.91730261e-02
   1.81588307e-02  1.32632842e-02  2.06876011e-03  4.56368029e-02
  -4.57041152e-02 -1.91738438e-02  4.50569615e-02  1.55732697e-02
  -4.15413417e-02 -2.07534377e-02  6.29739612e-02  2.30002701e-02
   2.20957939e-02  4.88420613e-02  1.24246860e-02  1.17067834e-02
  -1.35714650e-01 -3.01988199e-02 -2.83124968e-02 -6.42394051e-02
   8.83937404e-02 -1.89364329e-02  4.01687697e-02 -8.37149397e-02
   5.94137050e-02 -1.03218108e-02  1.36972759e-02 -2.40111034e-02
  -5.13607338e-02  1.36386333e-02 -2.91425008e-02 -1.20899603e-01
   7.14805350e-03 -3.53181958e-02 -1.61692146e-02  6.01367513e-03
   3.38426605e-02 -5.21476986e-03  3.63687128e-02  3.99113037e-02
   6.02019113e-03 -4.58534621e-02 -8.69457498e-02  4.63297702e-02
   3.33048403e-02 -8.62668529e-02  7.47261047e-02  6.54347085e-33
  -6.39080703e-02 -3.40304039e-02 -2.87687331e-02  5.00206687e-02
   5.29994369e-02  2.66583986e-03 -8.01954567e-02 -2.65910644e-02
   5.72122708e-02  8.95675495e-02  3.52399796e-02  1.96240307e-03
   1.90094896e-02  6.27745762e-02  3.06623224e-02  4.09306549e-02
   2.98390277e-02 -2.41462775e-02  4.36229594e-02  7.33097866e-02
  -8.93001482e-02  1.31902546e-01 -3.02044917e-02  4.13555391e-02
  -7.52504915e-02  5.20224459e-02  9.48322341e-02 -4.74141315e-02
  -9.44681913e-02  6.32536858e-02  5.80139505e-03 -7.78880864e-02
  -5.75384833e-02  7.49779642e-02 -6.13151081e-02  6.35447679e-04
   8.01880565e-03 -3.25248092e-02 -4.21936661e-02  1.48415007e-02
  -3.48875187e-02 -2.69262251e-02  3.44438069e-02  8.61692354e-02
   3.42704891e-03  1.09558553e-02 -6.60711201e-04  1.04901502e-02
   7.23472014e-02  5.52735850e-02 -8.22824240e-03 -4.97095461e-04
   6.44432381e-02 -3.69029455e-02 -6.66553974e-02  7.02753961e-02
   5.56650348e-02  1.37940031e-02  1.75239369e-02  1.58292856e-02
   6.61960617e-02  5.46580441e-02  2.51237955e-03 -3.13872211e-02
   8.38479325e-02 -2.18148157e-02 -5.28337136e-02  3.54626514e-02
  -1.82529853e-03  3.33670639e-02  8.31322744e-02 -2.82295328e-02
   5.33167347e-02 -2.05499567e-02  1.94849744e-02  2.33709235e-02
   1.62806269e-02 -3.23052183e-02 -3.06020789e-02  3.71851735e-02
  -1.25471493e-02 -4.43630815e-02  6.30456880e-02  4.15712856e-02
  -1.53221358e-02 -4.31393599e-03  1.84893683e-02  2.26589479e-02
   7.75396973e-02  2.11434904e-03 -5.12737297e-02 -6.23098155e-03
  -3.15185264e-02 -6.72129020e-02  4.07115743e-02 -2.09453859e-08
  -4.10220772e-02  1.43944779e-02  8.69798809e-02  5.12643009e-02
   6.80708215e-02  4.94410582e-02  6.32987395e-02  9.19756014e-03
  -1.30199511e-02 -5.64386807e-02 -3.88618149e-02 -1.13200722e-02
  -3.83019149e-02  1.87699078e-03  1.58007350e-02  5.91256283e-03
  -2.80576781e-03 -7.37023652e-02 -7.42642954e-02  2.31102835e-02
   5.43137603e-02  1.00711197e-01  1.23266352e-03  3.24962698e-02
  -8.19112584e-02  7.12885112e-02  1.84082333e-02 -1.51448520e-02
  -6.28204867e-02  3.71665275e-03 -2.82863099e-02  6.49925172e-02
  -2.87822131e-02 -2.42652697e-03  1.07168570e-01  2.10686568e-02
  -6.23367280e-02 -5.69158867e-02 -4.22642827e-02 -4.39895131e-02
   4.45324136e-03  4.71556932e-02  1.88467726e-02  7.10826740e-02
   1.40172699e-02 -3.01622488e-02 -2.41826884e-02 -2.32117418e-02
  -4.73172404e-02  1.06114276e-04 -4.02452052e-02 -2.55381875e-02
   3.55305113e-02  4.29527536e-02  2.16043991e-04 -3.78819294e-02
   2.09076926e-02 -8.57748743e-03 -1.26986638e-01 -3.34109850e-02
   6.11895062e-02 -1.81981064e-02 -1.09875105e-01 -2.85312533e-02]]",2024-02-17 16:49:28.106813
Can I say I'll be texting?,"[[-5.55491745e-02 -4.47519198e-02  8.02814960e-02  1.49349989e-02
  -4.69417823e-03  1.79260748e-03  7.79413730e-02  4.90140170e-02
   7.00611388e-03 -7.28666931e-02 -3.97992581e-02 -3.29554006e-02
   5.54255117e-03  1.88861638e-02  6.39299080e-02 -1.38074309e-02
   1.09948866e-01 -1.24916462e-02 -9.25478116e-02  7.45085403e-02
   1.12251248e-02  5.41605204e-02  2.00964827e-02  2.91074552e-02
   1.51309818e-02 -8.34673177e-03 -3.60588580e-02  5.94311878e-02
  -1.97798517e-02  7.86383897e-02 -4.28607501e-02  6.44990206e-02
   3.94143499e-02  8.59101396e-03 -3.55965123e-02  4.44033407e-02
  -6.92883972e-03 -2.52728723e-02  4.32368368e-02 -2.37102229e-02
  -6.03599213e-02 -9.88410711e-02  1.54898607e-03  1.53697198e-02
   5.47430217e-02 -2.21604779e-02 -2.96980198e-02  2.85644718e-02
  -2.80229356e-02 -1.83749162e-02  7.53908157e-02 -3.20862830e-02
  -6.38138968e-03  4.31431755e-02 -3.26202088e-03  8.13453421e-02
  -3.36879306e-02  2.34412830e-02  1.42411077e-02  3.79339904e-02
  -4.59145289e-03 -1.73028130e-02 -1.34162866e-02  1.71432160e-02
   5.31509006e-03  4.09042053e-02 -7.37890089e-03  7.88604245e-02
  -5.26238903e-02  7.43763447e-02  1.81303117e-02 -5.07701151e-02
   4.54222597e-02  6.06070794e-02 -3.29288989e-02  3.41130905e-02
   4.25343551e-02 -1.81019772e-02  2.31043659e-02  1.26339063e-01
  -2.47757267e-02 -8.16291273e-02  2.30205767e-02 -4.78062034e-02
  -1.31400302e-01 -8.95907264e-03  3.98852117e-02  7.02617094e-02
  -1.23247616e-02  5.92256756e-03  1.86998677e-03  2.34857816e-02
   3.75429094e-02 -1.41818598e-02 -1.64456934e-01  2.29534507e-02
  -1.38693139e-01 -6.23611659e-02 -8.39571953e-02  7.11290091e-02
  -2.07894645e-03  9.30199213e-03  9.68482462e-04  1.14491796e-02
  -4.19307277e-02  1.69768818e-02 -3.31568532e-02  2.08521299e-02
   5.22036292e-03 -8.85062441e-02  2.54074447e-02 -3.59867476e-02
   2.19916757e-02  7.84540665e-04  1.05796987e-02  1.22672599e-02
   2.07173564e-02  1.75287202e-02  1.48025364e-01  6.16613738e-02
  -2.77038058e-03  6.49430382e-04 -2.03469321e-02  5.44924475e-02
  -4.04668376e-02 -4.22868691e-02  6.70435950e-02 -6.28321053e-33
   9.35255662e-02  6.32680058e-02  8.64692628e-02  1.22538075e-01
  -1.81447528e-02  4.00604121e-02 -5.88783324e-02 -5.77560477e-02
   1.89975537e-02 -8.73636454e-02 -4.07602228e-02 -6.28541037e-02
   5.61056472e-02 -5.43478243e-02  6.62700608e-02  6.27634972e-02
   1.61483027e-02 -2.01474484e-02  4.25854810e-02 -1.15038222e-02
  -2.72888206e-02 -1.05425440e-01  2.26368895e-03 -2.97243390e-02
   7.10412115e-02 -2.97803339e-02 -1.15844153e-03 -8.94126222e-02
   7.27871209e-02 -1.95434019e-02 -6.93479702e-02  3.82873602e-02
   1.09150689e-02  4.20921622e-03  9.76836868e-03  1.09429425e-02
  -2.52588410e-02 -1.64855691e-03 -1.27608199e-02 -4.42721657e-02
   1.23102032e-02  1.30824605e-02 -2.41020788e-02 -9.45354402e-02
   9.98471770e-03  1.75923500e-02  6.12304686e-03 -3.97190191e-02
  -6.67675287e-02 -1.56671163e-02 -4.21908610e-02  6.42886059e-03
   1.43529046e-02 -1.79852694e-02  2.61483323e-02 -6.73983395e-02
  -1.28609426e-02 -6.09391043e-03  8.41613039e-02  3.89256552e-02
  -5.19164167e-02  1.02518620e-02 -1.16332527e-02  1.27340136e-02
  -3.13980728e-02 -5.57617210e-02 -7.55670015e-03  3.77399381e-03
   7.45005310e-02 -8.21744278e-02 -3.24565135e-02  4.00926769e-02
  -7.67676383e-02  6.24204837e-02  1.14464490e-02  5.25069386e-02
   7.90140219e-03  5.75694852e-02  2.74453796e-02  5.80949932e-02
   6.15767874e-02  4.03607227e-02 -4.70991060e-02  2.53728647e-02
   6.05252497e-02  2.31170487e-02  6.37615658e-03 -1.20246999e-01
  -1.04445610e-02  1.00027643e-01 -9.68237668e-02  3.02705429e-02
  -1.35593005e-02  2.89458986e-02 -4.89671081e-02  4.30637543e-33
   7.33950781e-03  5.09449281e-02 -5.18693402e-02 -3.90205905e-02
  -3.04254051e-02  4.03919891e-02  4.01747972e-02  6.53631538e-02
  -3.22613120e-02 -1.47388577e-02  6.69010624e-04  8.69817138e-02
   2.07654703e-02 -6.14490248e-02  3.63959000e-02 -2.03945916e-02
   3.76220420e-02 -3.51546769e-04 -2.54872758e-02 -4.29305434e-02
  -1.20519608e-01 -8.26352388e-02 -8.45378563e-02 -1.64337736e-02
   4.70206030e-02 -6.35921676e-03  6.85492679e-02  2.85108630e-02
  -3.55593637e-02 -1.35198387e-03 -1.83409778e-03 -3.36833894e-02
   5.00184856e-03  6.45269379e-02  5.49477153e-03  5.76190762e-02
   7.19020069e-02 -3.10487412e-02 -5.54934628e-02 -2.77823186e-03
   1.04413271e-01  4.17944975e-03 -3.40929516e-02  3.35906004e-03
  -5.79835437e-02 -8.81896168e-02  1.08189546e-02 -3.61262299e-02
   8.13485980e-02  1.16075225e-01 -4.50217491e-03 -2.47654156e-04
   8.45485274e-03 -8.18621460e-03 -2.74859909e-02 -2.79885437e-02
   5.67022339e-03  8.02479591e-03 -4.94619943e-02 -5.20283356e-02
  -3.94040719e-02  1.15145020e-04  7.58042336e-02 -8.20134953e-02
   9.36955735e-02 -6.48480058e-02 -6.69409335e-02  1.11728339e-02
   4.34231460e-02  3.73064913e-02  5.97897135e-02 -4.15830538e-02
  -7.80224353e-02  1.78833418e-02  1.44625064e-02 -6.36846423e-02
   1.03967935e-01 -3.83814611e-02 -1.25489473e-01 -8.26954320e-02
   4.39527370e-02  9.33074653e-02  5.07996716e-02 -2.94723753e-02
   3.83508056e-02  2.35914811e-02  2.47548409e-02  3.95594500e-02
  -4.14749905e-02 -7.59362727e-02 -4.19223756e-02  6.87095523e-03
  -1.28960647e-02 -3.34644719e-04 -1.69944111e-02 -1.81088087e-08
   1.21090133e-02 -4.59217802e-02 -8.28604028e-03 -5.81345102e-03
  -5.07073477e-03  1.81770045e-02  1.27976127e-02 -1.03527024e-01
  -1.32511985e-02 -4.98510525e-02  2.17554774e-02 -5.02221659e-02
  -1.66124515e-02 -2.05801595e-02 -9.01567843e-03  1.40784942e-02
   6.79559112e-02 -1.54736206e-01 -2.45148875e-02  3.62707749e-02
   7.02365190e-02  5.80487587e-02 -7.16722757e-02  7.93613791e-02
  -1.11892205e-02  2.71953586e-02  2.15512142e-02  5.72496131e-02
  -4.84999008e-02 -3.55022587e-02  7.42138624e-02  9.02656093e-03
   1.01450477e-02 -3.20313200e-02  6.89074909e-03 -1.29961580e-01
   1.16537735e-02 -1.02394693e-01  2.03248914e-02  2.69311052e-02
   3.68939675e-02 -1.51827531e-02 -1.72253270e-02  8.84978995e-02
   6.49981499e-02 -4.70505562e-03  6.50381520e-02 -1.31935075e-01
  -2.32179761e-02 -3.51565368e-02 -4.48445417e-02 -3.53034288e-02
   5.52497543e-02 -3.34485136e-02  8.96352530e-03  4.95582893e-02
   5.60484417e-02  7.39120543e-02 -1.72720645e-02  3.23532410e-02
   4.50820997e-02 -3.39569598e-02 -1.01769548e-02 -4.43774909e-02]]",2024-02-17 16:49:33.106000
